64867422,"""Infernoble Arms - Hauteclere""",Equip Spell,1
83994646,"4-Starred Ladybug of Doom",Flip Effect Monster,1
23771716,"7 Colored Fish",Normal Monster,1
86198326,"7 Completed",Equip Spell,1
14261867,"8-Claws Scorpion",Effect Monster,1
24140059,"A Cat of Ill Omen",Flip Effect Monster,1
68170903,"A Feint Plan",Normal Trap,1
21597117,"A Hero Emerges",Normal Trap,1
295517,"A Legendary Ocean",Field Spell,1
51351302,"A Man with Wdjat",Effect Monster,1
5728014,"A Rival Appears!",Normal Trap,1
96146814,"A/D Changer",Effect Monster,1
1966438,"Abominable Unchained Soul",Effect Monster,1
70832512,"Absolute Crusader",Effect Monster,1
27744077,"Absolute End",Normal Trap,1
3900605,"Absorbing Jar",Flip Effect Monster,1
21044178,"Abyss Dweller",Xyz Effect Monster,1
97232518,"Abyss Stungray",Continuous Trap,1
89801755,"Abyssal Designator",Normal Spell,1
86066372,"Accesscode Talker",Link Effect Monster,1
98444741,"Accumulated Fortune",Normal Trap,1
41356845,"Acid Trap Hole",Normal Trap,1
35956022,"Acidic Downpour",Field Spell,1
47372349,"Acrobat Monkey",Normal Monster,1
35498188,"Action Magic - Double Banking",Quick-Play Spell,1
99004583,"Action Magic - Full Turn",Quick-Play Spell,1
9464441,"Adamancipator Risen - Dragite",Synchro Effect Monster,1
47674738,"Adamancipator Risen - Leonite",Synchro Effect Monster,1
73079836,"Adamancipator Risen - Raptite",Synchro Effect Monster,1
62325062,"Adhesion Trap Hole",Normal Trap,1
53828396,"Adhesive Explosive",Effect Monster,1
15464375,"Adularia of the June Moon",Effect Monster,1
51630558,"Advance Draw",Normal Spell,1
47060347,"Aegis of Gaia",Continuous Trap,1
83094004,"Aeropixthree",Tuner Effect Monster,1
25345186,"After the Struggle",Normal Spell,1
27822206,"Ages of Stars and Frost",Quick-Play Spell,1
25795273,"Al-Lumi'raj",Tuner Effect Monster,1
65384019,"Alchemy Cycle",Normal Trap,1
43096270,"Alexandrite Dragon",Normal Monster,1
97127906,"Alien Shocktrooper",Normal Monster,1
58066722,"Alien Stealthbuster",Effect Monster,1
30834988,"All-Out Attacks",Continuous Trap,1
64428736,"Alligator's Sword",Normal Monster,1
1475311,"Allure of Darkness",Normal Spell,1
26593852,"Ally of Justice Catastor",Synchro Effect Monster,1
89386122,"Ally of Justice Clausolas",Normal Monster,1
8233522,"Ally of Justice Cycle Reader",Tuner Effect Monster,1
45586855,"Ally of Justice Cyclone Creator",Tuner Effect Monster,1
45033006,"Ally of Justice Enemy Catcher",Effect Monster,1
69461394,"Ally of Justice Field Marshal",Synchro Effect Monster,1
55982698,"Ally of Justice Reverse Break",Effect Monster,1
92998610,"Aloof Lupine",Effect Monster,1
73355951,"Alpha Summon",Normal Trap,1
99785935,"Alpha The Magnet Warrior",Normal Monster,1
73304257,"Alpha, the Master of Beasts",Effect Monster,1
21070956,"Altar for Tribute",Normal Trap,1
86885905,"Altergeist Emulatelf",Continuous Trap,1
25533642,"Altergeist Meluseek",Effect Monster,1
54126514,"Altergeist Peritrator",Effect Monster,1
18988391,"Amarylease",Effect Monster,1
94004268,"Amazoness Swords Woman",Effect Monster,1
41224658,"Ambitious Gofer",Effect Monster,1
67371383,"Amphibian Beast",Normal Monster,1
5183693,"Amulet of Ambition",Equip Spell,1
19763315,"An Unfortunate Report",Normal Trap,1
25862681,"Ancient Fairy Dragon",Synchro Effect Monster,1
87624166,"Ancient Forest",Field Spell,1
10509340,"Ancient Gear Beast",Effect Monster,1
10667321,"Ancient Rules",Normal Spell,1
17092736,"Ancient Telescope",Normal Spell,1
76416959,"Ancient Warriors - Loyal Guan Yun",Effect Monster,1
47594939,"And the Band Played On",Continuous Trap,1
44822037,"Angel Statue - Azurune",Continuous Trap,1
